=== PER FRAME DETECTION RESULTS ===
frame_idx,fps,latency_ms,num_objects,track_id,class_name,threat_score,threat_level,speed_mps,proximity_m
248,3.85,320.98,1,14,harbor,0.0231,LOW,3.53,499.19
249,3.78,378.9,1,14,harbor,0.0231,LOW,3.53,499.23
250,3.75,300.99,1,14,harbor,0.023,LOW,3.52,499.27
251,3.71,321.81,1,14,harbor,0.023,LOW,3.51,499.31
252,3.71,231.51,1,14,harbor,0.023,LOW,3.51,499.35
253,3.68,296.29,1,14,harbor,0.023,LOW,3.5,499.39
254,3.72,214.11,1,14,harbor,0.023,LOW,3.5,499.42
255,3.75,220.12,1,14,harbor,0.023,LOW,3.5,499.46


=== SUMMARY & CONCLUSIONS ===
Metric,Value
Total frames processed,148
Total detections logged,151
Unique objects tracked,3
Average FPS,3.63
Average Latency (ms),283.28

=== THREAT LEVEL BREAKDOWN ===
Threat Level,Count
HIGH,0
MEDIUM,0
LOW,151

=== DETECTIONS BY CLASS ===
Class,Detection Count
harbor,151
